StartTime: 2020-10-20 09:13:23.465
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 09:13:32.096	0.2173	0.6035	0.7930	-0.3052	0.9766	-0.9766	17.6495	-1.8018	118.1799	29.71	189	205	-240
0x50	 09:13:32.100	0.2173	0.6035	0.7930	0.3662	1.1597	-1.1597	17.6550	-1.7853	118.1689	29.70	190	206	-239
0x50	 09:13:32.110	0.2104	0.6050	0.7935	0.3662	1.1597	-1.1597	17.6605	-1.7688	118.1635	29.70	192	206	-241
0x50	 09:13:32.120	0.2104	0.6050	0.7935	1.2207	1.2207	-0.3052	17.6770	-1.7523	118.1635	29.71	191	204	-240
0x50	 09:13:32.130	0.2158	0.6030	0.7852	1.2207	1.2207	-0.3052	17.6880	-1.7358	118.1689	29.71	191	204	-239
0x50	 09:13:32.140	0.2158	0.6030	0.7852	-0.0610	0.7935	0.1831	17.6880	-1.7249	118.1689	29.69	189	203	-240
0x50	 09:13:32.150	0.2266	0.5972	0.7959	-0.0610	0.7935	0.1831	17.6935	-1.7194	118.1744	29.69	189	203	-240
0x50	 09:13:32.160	0.2266	0.5972	0.7959	-0.1831	0.9766	0.1831	17.6880	-1.7084	118.1854	29.73	188	204	-238
0x50	 09:13:32.170	0.2271	0.5957	0.7998	-0.1831	0.9766	0.1831	17.6825	-1.7029	118.1909	29.73	189	203	-237
0x50	 09:13:32.183	0.2271	0.5957	0.7998	0.3662	1.5259	-0.6104	17.6880	-1.6864	118.1909	29.70	190	202	-236
0x50	 09:13:32.190	0.2236	0.5972	0.7954	0.3662	1.5259	-0.6104	17.6880	-1.6754	118.1964	29.70	190	201	-238
0x50	 09:13:32.203	0.2236	0.5972	0.7954	1.7090	1.4038	-1.0376	17.7045	-1.6589	118.1964	29.71	191	201	-239
0x50	 09:13:32.210	0.2192	0.6021	0.7944	1.7090	1.4038	-1.0376	17.7209	-1.6425	118.1964	29.71	191	202	-240
0x50	 09:13:32.231	0.2192	0.6021	0.7944	2.2583	0.7935	-1.0376	17.7429	-1.6260	118.1909	29.73	191	203	-240
0x50	 09:13:32.231	0.2129	0.6084	0.7876	2.2583	0.7935	-1.0376	17.7649	-1.6150	118.1854	29.73	191	203	-240
0x50	 09:13:32.269	0.2129	0.6084	0.7876	1.7700	0.4883	-0.9766	17.7869	-1.6095	118.1744	29.70	190	204	-240
0x50	 09:13:32.269	0.2124	0.6060	0.7900	1.7700	0.4883	-0.9766	17.8088	-1.5985	118.1689	29.70	190	204	-238
