StartTime: 2020-09-24 17:40:40.285
address	Time(s)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 17:40:58.853	0.3662	-1.7700	-2.4414	-2.5488	-14.7821	65.1819	0.00
0x50	 17:40:58.860	0.3662	-1.7700	-2.4414	-2.5598	-14.7821	65.1599	0.00
0x50	 17:40:58.870	-6.5308	1.4038	-5.0049	-2.5543	-14.7986	65.1379	0.00
0x50	 17:40:58.880	-6.5308	1.4038	-5.0049	-2.5763	-14.8041	65.0995	0.00
0x50	 17:40:58.890	-7.8125	-0.0610	-3.0518	-2.6257	-14.7931	65.0446	0.00
0x50	 17:40:58.900	-7.8125	-0.0610	-3.0518	-2.6807	-14.7876	65.0061	0.00
0x50	 17:40:58.910	-14.4043	-15.6860	-4.4556	-2.7466	-14.7876	64.9677	0.00
0x50	 17:40:58.920	-14.4043	-15.6860	-4.4556	-2.8455	-14.8480	64.9292	0.00
0x50	 17:40:58.930	45.5933	-113.4033	-0.9766	-2.9773	-14.9744	64.8853	0.00
0x50	 17:40:58.940	45.5933	-113.4033	-0.9766	-2.8345	-15.5731	64.8907	0.00
0x50	 17:40:58.950	98.7549	-175.8423	-8.6060	-2.4170	-16.6333	64.9402	0.00
0x50	 17:40:58.960	98.7549	-175.8423	-8.6060	-1.7303	-18.0396	64.9512	0.00
0x50	 17:40:58.970	50.5981	-156.4941	-18.1885	-0.7635	-19.7809	64.9237	0.00
0x50	 17:40:58.981	50.5981	-156.4941	-18.1885	0.0000	-21.4233	64.7974	0.00
0x50	 17:40:58.990	77.3926	-226.0742	-22.9492	0.5713	-22.9669	64.5941	0.00
0x50	 17:40:59.000	77.3926	-226.0742	-22.9492	1.2799	-24.8291	64.3469	0.00
0x50	 17:40:59.010	95.3369	-255.8594	-11.2915	2.1368	-26.9989	64.0448	0.00
0x50	 17:40:59.054	95.3369	-255.8594	-11.2915	3.1036	-29.3939	63.7482	0.00
