StartTime: 2020-09-27 11:32:02.453
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 11:33:17.740	-0.0366	-0.0083	0.9922	0.0000	0.0000	0.0000	-0.4779	-2.1808	0.4724	30.00	0	0	0
0x50	 11:33:17.863	-0.0366	-0.0093	0.9917	0.0000	0.0000	0.0000	-0.4779	-2.0984	0.4724	30.00	0	0	0
0x50	 11:33:17.940	-0.0371	-0.0088	0.9912	0.0000	0.0000	0.0000	-0.5328	-2.0984	0.4724	30.00	0	0	0
0x50	 11:33:18.046	-0.0371	-0.0093	0.9912	0.0000	0.0000	0.0000	-0.5054	-2.1259	0.4724	29.98	0	0	0
0x50	 11:33:18.140	-0.0371	-0.0093	0.9917	0.0000	0.0000	0.0000	-0.5328	-2.1259	0.4724	29.98	0	0	0
0x50	 11:33:18.240	-0.0371	-0.0088	0.9912	0.0000	0.0000	0.0000	-0.5328	-2.1259	0.4724	29.96	0	0	0
0x50	 11:33:18.340	-0.0371	-0.0093	0.9907	0.0000	0.0000	0.0000	-0.5054	-2.1259	0.4724	30.00	0	0	0
0x50	 11:33:18.458	-0.0371	-0.0093	0.9922	0.0000	0.0000	0.0000	-0.5328	-2.1259	0.4724	30.01	0	0	0
0x50	 11:33:18.540	-0.0371	-0.0088	0.9917	0.0000	0.0000	0.0000	-0.5328	-2.1259	0.4724	29.98	0	0	0
0x50	 11:33:18.639	-0.0371	-0.0088	0.9922	0.0000	0.0000	0.0000	-0.5054	-2.1259	0.4724	29.96	0	0	0
0x50	 11:33:18.738	-0.0371	-0.0093	0.9917	0.0000	0.0000	0.0000	-0.5054	-2.1259	0.4724	29.97	0	0	0
0x50	 11:33:18.838	-0.0371	-0.0088	0.9917	0.0000	0.0000	0.0000	-0.5328	-2.1259	0.4724	29.96	0	0	0
0x50	 11:33:18.938	-0.0371	-0.0088	0.9922	0.0000	0.0000	0.0000	-0.5054	-2.1259	0.4724	29.97	0	0	0
0x50	 11:33:19.038	-0.0376	-0.0083	0.9917	0.0000	0.0000	0.0000	-0.5054	-2.1259	0.4724	30.00	0	0	0
0x50	 11:33:19.138	-0.0371	-0.0093	0.9922	0.0000	0.0000	0.0000	-0.4779	-2.1533	0.4724	29.97	0	0	0
0x50	 11:33:19.280	-0.0371	-0.0093	0.9922	0.0000	0.0000	0.0000	-0.5328	-2.1259	0.4724	29.99	0	0	0
0x50	 11:33:19.338	-0.0371	-0.0088	0.9917	0.0000	0.0000	0.0000	-0.5328	-2.1259	0.4724	29.98	0	0	0
0x50	 11:33:19.438	-0.0371	-0.0093	0.9922	0.0000	0.0000	0.0000	-0.5054	-2.1259	0.4724	29.98	0	0	0
0x50	 11:33:19.538	-0.0371	-0.0083	0.9922	0.0000	0.0000	0.0000	-0.5328	-2.1259	0.4724	29.99	0	0	0
0x50	 11:33:19.640	-0.0376	-0.0088	0.9917	0.0000	0.0000	0.0000	-0.4779	-2.1259	0.4724	29.99	0	0	0
0x50	 11:33:19.738	-0.0376	-0.0083	0.9917	0.0000	0.0000	0.0000	-0.5054	-2.1533	0.4724	29.96	0	0	0
0x50	 11:33:19.838	-0.0376	-0.0088	0.9922	0.0000	0.0000	0.0000	-0.4779	-2.1533	0.4724	29.96	0	0	0
0x50	 11:33:19.938	-0.0371	-0.0088	0.9917	0.0000	0.0000	0.0000	-0.5054	-2.1533	0.4724	29.96	0	0	0
0x50	 11:33:20.037	-0.0366	-0.0088	0.9917	0.0000	0.0000	0.0000	-0.5054	-2.1259	0.4724	29.96	0	0	0
0x50	 11:33:20.137	-0.0376	-0.0093	0.9917	0.0000	0.0000	0.0000	-0.5054	-2.0984	0.4724	29.96	0	0	0
0x50	 11:33:20.237	-0.0371	-0.0093	0.9917	0.0000	0.0000	0.0000	-0.5328	-2.1533	0.4724	29.97	0	0	0
0x50	 11:33:20.337	-0.0371	-0.0088	0.9907	0.0000	0.0000	0.0000	-0.5328	-2.1259	0.4724	29.98	0	0	0
0x50	 11:33:20.437	-0.0376	-0.0083	0.9917	0.0000	0.0000	0.0000	-0.5054	-2.1259	0.4724	30.00	0	0	0
0x50	 11:33:20.536	-0.0371	-0.0088	0.9917	0.0000	0.0000	0.0000	-0.4779	-2.1533	0.4724	29.97	0	0	0
0x50	 11:33:20.636	-0.0371	-0.0088	0.9922	0.0000	0.0000	0.0000	-0.5054	-2.1259	0.4724	29.98	0	0	0
0x50	 11:33:20.736	-0.0371	-0.0088	0.9922	0.0000	0.0000	0.0000	-0.5054	-2.1259	0.4724	29.97	0	0	0
0x50	 11:33:20.836	-0.0371	-0.0093	0.9917	0.0000	0.0000	0.0000	-0.5054	-2.1259	0.4724	29.94	0	0	0
0x50	 11:33:20.936	-0.0366	-0.0098	0.9917	0.0000	0.0000	0.0000	-0.5328	-2.1259	0.4724	29.97	0	0	0
0x50	 11:33:21.036	-0.0366	-0.0088	0.9922	0.0000	0.0000	0.0000	-0.5603	-2.0984	0.4724	29.94	0	0	0
0x50	 11:33:21.141	-0.0371	-0.0093	0.9927	0.0000	0.0000	0.0000	-0.5054	-2.0984	0.4724	29.97	0	0	0
0x50	 11:33:21.236	-0.0371	-0.0088	0.9917	0.0000	0.0000	0.0000	-0.5328	-2.1259	0.4724	29.97	0	0	0
0x50	 11:33:21.335	-0.0376	-0.0088	0.9927	0.0000	0.0000	0.0000	-0.5054	-2.1259	0.4724	30.00	0	0	0
0x50	 11:33:21.435	-0.0376	-0.0093	0.9922	0.0000	0.0000	0.0000	-0.5054	-2.1533	0.4724	29.96	0	0	0
