StartTime: 2020-03-20 16:20:22.093
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
223.925	-1.2285	1.3833	0.2910	6.7139	-4.1504	-11.8408	76.7944	40.5176	-95.9491	39.1600	-25	-291	127 
223.935	-1.2285	1.3833	0.2910	6.7139	-4.1504	-11.8408	76.8054	40.5725	-96.1084	39.1800	-25	-291	126 
223.935	-1.2285	1.3833	0.2910	6.7139	-4.1504	-11.8408	76.8109	40.6219	-96.2622	39.1800	-26	-291	126 
223.945	-1.2285	1.3833	0.2910	6.7139	-4.1504	-11.8408	76.8219	40.6769	-96.4215	39.1600	-25	-291	126 
223.945	-1.2285	1.3833	0.2910	6.7139	-4.1504	-11.8408	76.8274	40.7318	-96.5753	39.1600	-25	-291	125 
223.955	-1.2285	1.3833	0.2910	6.7139	-4.1504	-11.8408	76.8384	40.7813	-96.7291	39.1700	-26	-290	125 
223.955	-1.2285	1.3833	0.2910	6.7139	-4.1504	-11.8408	76.8439	40.8362	-96.8829	39.1700	-27	-290	125 
223.955	-1.2534	1.3599	0.3472	-3.7842	-16.6016	-14.7095	76.7395	40.8911	-97.1246	39.1500	-27	-290	125 
223.967	-1.2534	1.3599	0.3472	-3.7842	-16.6016	-14.7095	76.6351	40.9460	-97.3663	39.1500	-27	-290	124 
223.967	-1.2534	1.3599	0.3472	-3.7842	-16.6016	-14.7095	76.5308	41.0010	-97.6080	39.1800	-26	-291	123 
223.977	-1.2534	1.3599	0.3472	-3.7842	-16.6016	-14.7095	76.4264	41.0559	-97.8497	39.1800	-25	-291	123 
223.977	-1.2534	1.3599	0.3472	-3.7842	-16.6016	-14.7095	76.3220	41.1108	-98.0914	39.1400	-27	-291	123 
223.987	-1.2534	1.3599	0.3472	-3.7842	-16.6016	-14.7095	76.2122	41.1658	-98.3276	39.1400	-28	-292	122 
223.987	-1.2534	1.3599	0.3472	-3.7842	-16.6016	-14.7095	76.1078	41.2152	-98.5693	39.1400	-28	-291	122 
223.997	-1.2534	1.3599	0.3472	-3.7842	-16.6016	-14.7095	76.0034	41.2701	-98.8055	39.1100	-28	-291	122 
223.997	-1.2754	1.3325	0.3843	-14.2822	-24.9634	-13.9160	75.8057	41.3141	-99.0967	39.1100	-28	-291	123 
223.997	-1.2754	1.3325	0.3843	-14.2822	-24.9634	-13.9160	75.6134	41.3525	-99.3933	39.1300	-27	-291	124 
224.007	-1.2754	1.3325	0.3843	-14.2822	-24.9634	-13.9160	75.4156	41.3965	-99.6844	39.1300	-27	-291	124 
224.007	-1.2754	1.3325	0.3843	-14.2822	-24.9634	-13.9160	75.2179	41.4349	-99.9811	39.1800	-27	-292	124 
224.017	-1.2754	1.3325	0.3843	-14.2822	-24.9634	-13.9160	75.0256	41.4734	-100.2722	39.1800	-27	-292	124 
224.017	-1.2754	1.3325	0.3843	-14.2822	-24.9634	-13.9160	74.8279	41.5118	-100.5634	39.1900	-27	-293	125 
224.027	-1.2754	1.3325	0.3843	-14.2822	-24.9634	-13.9160	74.6356	41.5503	-100.8545	39.1900	-26	-292	124 
224.027	-1.2754	1.3325	0.3843	-14.2822	-24.9634	-13.9160	74.4379	41.5887	-101.1456	39.1400	-25	-291	123 
224.042	-1.2896	1.3062	0.4194	-21.7285	-26.6113	-10.3149	74.2017	41.6052	-101.4423	39.1400	-26	-291	123 
224.042	-1.2896	1.3062	0.4194	-21.7285	-26.6113	-10.3149	73.9655	41.6272	-101.7389	39.1400	-27	-291	122 
224.042	-1.2896	1.3062	0.4194	-21.7285	-26.6113	-10.3149	73.7238	41.6437	-102.0355	39.1000	-26	-290	121 
224.052	-1.2896	1.3062	0.4194	-21.7285	-26.6113	-10.3149	73.4875	41.6602	-102.3322	39.1000	-25	-290	121 
224.052	-1.2896	1.3062	0.4194	-21.7285	-26.6113	-10.3149	73.2513	41.6766	-102.6288	39.1800	-25	-289	121 
224.062	-1.2896	1.3062	0.4194	-21.7285	-26.6113	-10.3149	73.0151	41.6931	-102.9199	39.1800	-25	-289	121 
224.062	-1.2896	1.3062	0.4194	-21.7285	-26.6113	-10.3149	72.7789	41.7096	-103.2111	39.1500	-25	-289	121 
224.072	-1.2896	1.3062	0.4194	-21.7285	-26.6113	-10.3149	72.5482	41.7206	-103.5077	39.1500	-25	-288	120 
224.072	-1.3076	1.2979	0.4453	-24.8413	-21.7285	-5.8594	72.3230	41.7261	-103.7604	39.1600	-25	-288	120 
224.072	-1.3076	1.2979	0.4453	-24.8413	-21.7285	-5.8594	72.0978	41.7261	-104.0131	39.1600	-25	-289	120 
224.082	-1.3076	1.2979	0.4453	-24.8413	-21.7285	-5.8594	71.8726	41.7261	-104.2657	39.2000	-26	-289	119 
224.082	-1.3076	1.2979	0.4453	-24.8413	-21.7285	-5.8594	71.6473	41.7261	-104.5129	39.2000	-26	-290	118 
224.092	-1.3076	1.2979	0.4453	-24.8413	-21.7285	-5.8594	71.4221	41.7261	-104.7601	39.2000	-27	-288	117 
224.092	-1.3076	1.2979	0.4453	-24.8413	-21.7285	-5.8594	71.2024	41.7206	-105.0128	39.1200	-27	-287	116 
224.102	-1.3076	1.2979	0.4453	-24.8413	-21.7285	-5.8594	70.9772	41.7206	-105.2545	39.1200	-27	-287	116 
224.102	-1.3164	1.2939	0.4570	-24.7192	-12.8784	-1.4648	70.8014	41.7151	-105.4413	39.1600	-27	-286	116 
224.112	-1.3164	1.2939	0.4570	-24.7192	-12.8784	-1.4648	70.6256	41.7041	-105.6226	39.1600	-27	-287	116 
224.112	-1.3164	1.2939	0.4570	-24.7192	-12.8784	-1.4648	70.4443	41.6931	-105.8038	39.1600	-26	-287	116 
224.112	-1.3164	1.2939	0.4570	-24.7192	-12.8784	-1.4648	70.2686	41.6876	-105.9796	39.1600	-26	-288	115 
224.122	-1.3164	1.2939	0.4570	-24.7192	-12.8784	-1.4648	70.0928	41.6766	-106.1609	39.1600	-27	-288	115 
224.122	-1.3164	1.2939	0.4570	-24.7192	-12.8784	-1.4648	69.9170	41.6656	-106.3367	39.1600	-27	-287	113 
224.132	-1.3164	1.2939	0.4570	-24.7192	-12.8784	-1.4648	69.7412	41.6602	-106.5125	39.1800	-27	-286	112 
224.132	-1.3164	1.2939	0.4570	-24.7192	-12.8784	-1.4648	69.5709	41.6492	-106.6882	39.1800	-27	-285	111 
224.142	-1.3198	1.2969	0.4658	-22.6440	-3.1128	2.5024	69.4501	41.6382	-106.7926	39.1800	-27	-284	111 
224.142	-1.3198	1.2969	0.4658	-22.6440	-3.1128	2.5024	69.3347	41.6272	-106.9025	39.2000	-27	-285	111 
224.152	-1.3198	1.2969	0.4658	-22.6440	-3.1128	2.5024	69.2194	41.6162	-107.0068	39.2000	-27	-286	111 
